Year,Total,Fires,MedicalAid,FalseAlarms,MutualAid,HazardousMaterials,OtherHazardousConditions,Other
1986,11890000,2271500,6437500,992500,441000,171500,318000,1258000
1987,12237500,2330000,6405000,1238500,428000,193000,315000,1328000
1988,13308000,2436500,7169500,1404500,490500,204000,333000,1270000
1989,13409500,2115000,7337000,1467000,500000,207000,381500,1402000
1990,13707500,2019000,7650000,1476000,486500,210000,423000,1443000
1991,14556500,2041500,8176000,1578500,494000,221000,428500,1617000
1992,14684500,1964500,8263000,1598000,514000,220500,400000,1724500
1993,15318500,1952500,8743500,1646500,542000,245000,432500,1756500
1994,16127000,2054500,9189000,1666000,586500,250000,432500,1948500
1995,16391500,1965500,9381000,1672500,615500,254500,469500,2033000
1996,17503000,1975000,9841500,1816500,688000,285000,536500,2360500
1997,17957500,1795000,10483000,1814500,705500,271500,498500,2389500
1998,18753000,1755500,10936000,1956000,707500,301000,559000,2538000
1999,19667000,1823000,11484000,2039000,824000,297500,560000,2639500
2000,20520000,1708000,12251000,2126500,864000,319000,543500,2708000
2001,20965500,1734500,12331000,2157500,838500,381500,605000,2917500
2002,21303500,1687500,12903000,2116000,888500,361000,603500,2744000
2003,22406000,1584500,13631500,2189500,987000,349500,660500,3003500
2004,22616500,1550500,14100000,2106000,984000,354000,671000,2851000
2005,23251500,1602000,14375000,2134000,1091000,375000,667000,3009000
2006,24470000,1642500,15062500,2119500,1159500,388500,659000,3438500
2007,25334500,1557500,15784000,2208500,1109500,395500,686500,3593000
2008,25252500,1451500,15767500,2241500,1214500,394500,697500,3485500
2009,26534500,1348500,17104000,2177000,1296000,397000,625500,3586500
2010,28205000,1331500,18522000,2187000,1189500,402000,660000,3913000
2011,30098000,1389500,19803000,2383000,1252000,379000,720000,4171500
2012,31854000,1375000,21705500,2238000,1326500,360000,694000,4155000
2013,31644500,1240000,21372000,2343000,1298000,366500,678000,4347000
2014,31644500,1298000,20178000,2488000,1446500,405000,615000,5214000
2015,33635500,1345500,21500000,2566500,1492500,442000,643000,5646000
2016,35320000,1342000,22750500,2622000,1515000,425000,684500,5981000
2017,34683500,1319500,22341000,2547000,1353000,423500,693000,6006000
2018,36746500,1318500,23551500,2889000,1512500,426000,706500,6342500
2019,37272000,1291500,24481000,2893000,1487000,439500,744000,5936000
2020,36416000,1388500,23812000,2760000,1390000,422000,705000,5938500
2021,36624000,1353500,26291000,2904500,550000,433500,688000,6403500
